ID,SMILES,T.cruzi,Tb.brucei,Tb.rhodesiense
3618,[H]OC([H])([H])C([H])(N([H])C(=O)C1=C([H])C([H])=C(S1)C1=C([H])N([H])C2=C1C(=C([H])C([H])=N2)C(F)(F)F)C1=C([H])C([H])=C([H])C([H])=C1[H],1.0,,
4930,[H]N(C(=O)C1([H])C([H])([H])N(C([H])([H])C([H])([H])C1([H])[H])S(=O)(=O)C1=C([H])C([H])=C([H])S1)C1=NC(=C([H])S1)C1=C([H])C([H])=NC([H])=C1[H],1.0,,
5559,[H]OC([H])([H])C([H])([H])SC([H])(C1=C([H])C2=C(OC([H])([H])O2)C([H])=C1[H])C([H])([H])C(=O)C1=C([H])C([H])=C([H])O1,0.0,,
8832,[H]N1C([H])=C(C([H])=C1C(=O)OC([H])([H])[H])S(=O)(=O)N1C([H])([H])C([H])([H])C([H])(C2=C(OC([H])([H])[H])C([H])=C([H])C(OC([H])([H])[H])=C2[H])C1([H])[H],0.0,,
5136,[H]N(C(=O)C1([H])N(C(=O)C([H])([H])OC2=C([H])C([H])=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])C2=C(C([H])=C([H])C([H])=C2[H])C1([H])[H])C([H])([H])[H],0.0,,
8344,[H]N(N=C([H])C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H])C(=S)N([H])C([H])([H])[H],0.0,,
8935,[H]OC(=O)C1=C(N([H])C(=O)C2=C([H])C([H])=C(N([H])C(=O)C([H])([H])C3=C([H])C([H])=C([H])C([H])=C3[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H],0.0,,
1967,CC(=O)NCC1OC(C(O)C1O)N1C=NC2=C(N)N=C(Cl)N=C12,,,0.0
3920,[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])C(F)(F)F)C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])(C1=C([H])N=C([H])C([H])=C1[H])C1=C([H])C([H])=C(C#N)C([H])=C1[H],1.0,,
6952,[H]N(C(=O)C(C#N)=C([H])C1=C([H])C([H])=C(O1)C1=C([H])C([H])=C(F)C([H])=C1[H])C1=NC(=C([H])S1)C1=C([H])C([H])=C([H])S1,0.0,,
