ID,SMILES,Tb.rhodesiense
182,COC1=CC=C(C2=C(O)C=C(OC)C3=C2CC(C)N=C3C)C2=C(C(C)=CC(O)=C12)C1=CC(=C2C=C(C)C=C(OC)C2=C1O)C1=C(O)C=C(OC)C2=C1CC(C)NC2C,1
589,C(CCCOC1=CC=C(C=C1)C1=CC2=CC=C(C=C2O1)C1=NCCN1)CCOC1=CC=CC=C1,1
2004,O=C1NC(=O)N(C=C1)C1OC(COP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1,0
1021,FC1=C2SC(=CC2=C(F)C(F)=C1N1C=NC2=CC=CC=C12)C(=O)C1=CC=CC=C1,1
1092,CC(C)C(O)C(=O)OCC=C(CO)C(=O)OC1CC2(C)C(O)CC(=O)C(C)C2C2OC(=O)C(=C)C12,1
5,COC1=CC=C(C=C1)N1CCN(CCCN2C=CN=C2[N+]([O-])=O)CC1,0
487,CCC1=NN(CCO)C(CC)=C1OC1=CC(=CC(=C1)C#N)C#N,0
103,CNC(CC(C)C)C(=O)N(C)C(CC1=CC=CC=C1)C(=O)NCCC1=CNC2=CC=CC=C12,1
1246,C1CN=C(NC2=CC=C(NC3=CC=C(NC4=NCCN4)C=C3)C=C2)N1,1
1709,[O-][N+](=O)C1=NC=CN1CC(=O)NC1=NC(=CS1)C1=CC=C(F)C(F)=C1,1
2245,OC1=CC=CC=C1C(=O)NC(=O)C1=CC=C2OCOC2=C1,0
257,OC1=CC=C(CC(=O)NCCCNCCCCNCCCNC(=O)CC2=CC=C(O)C(O)=C2)C=C1O,1
259,OC1=CC=C(CC(=O)NCCCNCCCCNCCCNC(=O)CC2=CC=C(O)C=C2)C=C1,0
260,COC1=CC(CC(=O)NCCCNCCCCNCCCNC(=O)CC2=CC=C(O)C(OC)=C2)=CC=C1O,0
267,COC1=CC=C(OC)C(CC(=O)NCCCNCCCCNCCCNC(=O)CC2=CC(OC)=CC=C2OC)=C1,0
268,O=C(CC1=CC=CC=C1)NCCCNCCCCNCCCNC(=O)CC1=CC=CC=C1,0
252,OC1=CC(CC(=O)NCCCNCCCCNCCCNC(=O)CC2=CC=CC(O)=C2)=CC=C1,0
254,OC1=CC=CC=C1CC(=O)NCCCNCCCCNCCCNC(=O)CC1=CC=CC=C1O,0
1242,C(CC1=CC=C(NC2=NCCN2)C=C1)C1=CC=C(NC2=NCCN2)C=C1,1
545,[O-][N+](=O)C1=NC=CN1CCNC1=C2C=CC=CC2=NC2=CC=CC=C12,1
2086,CCCCCC=CC(=O)OC1CC2C(CCCCC(O)CCC)CCCC2NC1C,1
953,O=C(CN1CCCC1)OC1CC2(CC(C1C(C2)C1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,1
566,[O-][N+](=O)C1=NN(CCCNC2=NC(=NC3=CC=CC=C23)C2=CC=CC=C2)C=N1,1
248,COC1=CC(CC(=O)NCCN2CCOCC2)=CC=C1O,0
1569,O=C1CC2(CC(C(N1)C(C2)C1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,0
1105,CC12CCC(CC1C(=C)C(=O)C=C2)C(=C)C(O)=O,1
2209,COC1=CC=C(C=C1OC)C(=O)NCCOCCNC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,0
